,max_depth,min_samples_leaf,min_samples_split,n_estimators,auc
224,5.0,1000,100,10,0.7550068895617116
225,5.0,1000,100,50,0.7684966267243765
226,5.0,1000,100,100,0.7695511278820516
227,5.0,1000,100,200,0.7711706857896191
228,5.0,1000,1000,10,0.7601984485840598
229,5.0,1000,1000,50,0.7704989818710323
230,5.0,1000,1000,100,0.7688569706810305
231,5.0,1000,1000,200,0.7704270511879343
232,5.0,1000,10000,10,0.7485116501428606
233,5.0,1000,10000,50,0.76498742396896
234,5.0,1000,10000,100,0.7639913753339534
235,5.0,1000,10000,200,0.7644043608988813
236,5.0,1000,50000,10,0.713017224834152
237,5.0,1000,50000,50,0.74931712854957
238,5.0,1000,50000,100,0.7496755614952099
239,5.0,1000,50000,200,0.7490179338817397
240,5.0,10000,2,10,0.6388352172378996
241,5.0,10000,2,50,0.6562135897560444
242,5.0,10000,2,100,0.649219417928057
243,5.0,10000,2,200,0.6537906103349286
244,5.0,10000,10,10,0.6316651641660197
245,5.0,10000,10,50,0.6546427397360222
246,5.0,10000,10,100,0.6500187509127783
247,5.0,10000,10,200,0.6551915343579425
248,5.0,10000,100,10,0.648075014900075
249,5.0,10000,100,50,0.6484731915568837
250,5.0,10000,100,100,0.6508821995476264
251,5.0,10000,100,200,0.6503243077707903
252,5.0,10000,1000,10,0.6333085885065457
253,5.0,10000,1000,50,0.6419670649327405
254,5.0,10000,1000,100,0.6483361019397146
255,5.0,10000,1000,200,0.6539576677211115
256,5.0,10000,10000,10,0.6471642080533135
257,5.0,10000,10000,50,0.6435154639980055
258,5.0,10000,10000,100,0.6488399861996242
259,5.0,10000,10000,200,0.6501901165021823
260,5.0,10000,50000,10,0.6345099818364371
261,5.0,10000,50000,50,0.6583726039178079
262,5.0,10000,50000,100,0.6505404369432248
263,5.0,10000,50000,200,0.6551794641928792
264,5.0,50000,2,10,0.5331234589139782
265,5.0,50000,2,50,0.5541061155253941
266,5.0,50000,2,100,0.5563339228796222
267,5.0,50000,2,200,0.5565150799823784
268,5.0,50000,10,10,0.5395095902561335
269,5.0,50000,10,50,0.554245954955299
270,5.0,50000,10,100,0.5550557506460001
271,5.0,50000,10,200,0.5559710091056169
272,5.0,50000,100,10,0.5471721470082743
273,5.0,50000,100,50,0.5530191452513502
274,5.0,50000,100,100,0.5528342311219845
275,5.0,50000,100,200,0.5547324277744484
276,5.0,50000,1000,10,0.5424572979419666
277,5.0,50000,1000,50,0.5552176881978717
278,5.0,50000,1000,100,0.5571429566748922
279,5.0,50000,1000,200,0.5568588709120164
280,5.0,50000,10000,10,0.5392878904996814
281,5.0,50000,10000,50,0.5527664433489076
282,5.0,50000,10000,100,0.5560634326000715
283,5.0,50000,10000,200,0.5556804719282227
284,5.0,50000,50000,10,0.5391879761620039
285,5.0,50000,50000,50,0.5551053748238439
286,5.0,50000,50000,100,0.5560878182880823
287,5.0,50000,50000,200,0.5542391925015959
288,10.0,2,2,10,0.8025590127553223
289,10.0,2,2,50,0.8089600599658061
290,10.0,2,2,100,0.8083575604499798
291,10.0,2,2,200,0.8085039411628889
292,10.0,2,10,10,0.8042485119284499
293,10.0,2,10,50,0.8071068738129148
294,10.0,2,10,100,0.8081887995529827
295,10.0,2,10,200,0.8083763104521772
296,10.0,2,100,10,0.799130300279436
297,10.0,2,100,50,0.8062549076481946
298,10.0,2,100,100,0.8087803263356743
299,10.0,2,100,200,0.8089144089013024
300,10.0,2,1000,10,0.8003886855117907
301,10.0,2,1000,50,0.8068601332571361
302,10.0,2,1000,100,0.8067488909996715
303,10.0,2,1000,200,0.8069198916141683
304,10.0,2,10000,10,0.7928158655071227
305,10.0,2,10000,50,0.798485272245344
306,10.0,2,10000,100,0.7998950357970945
307,10.0,2,10000,200,0.7996519512626608
308,10.0,2,50000,10,0.7839415191972517
309,10.0,2,50000,50,0.7884498103846189
310,10.0,2,50000,100,0.7887222679922623
311,10.0,2,50000,200,0.787497365987261
312,10.0,10,2,10,0.8042428047674287
313,10.0,10,2,50,0.8088844574790505
314,10.0,10,2,100,0.8099791170844824
315,10.0,10,2,200,0.8092014310222954
316,10.0,10,10,10,0.8041623132622799
317,10.0,10,10,50,0.8092938213980485
318,10.0,10,10,100,0.8090129492990815
319,10.0,10,10,200,0.8092150375119658
320,10.0,10,100,10,0.8027977955694334
321,10.0,10,100,50,0.8082306378583773
322,10.0,10,100,100,0.8081191203075967
323,10.0,10,100,200,0.8101817595304144
324,10.0,10,1000,10,0.8019587750184554
325,10.0,10,1000,50,0.8067274769531553
326,10.0,10,1000,100,0.808048751759593
327,10.0,10,1000,200,0.8079589595496527
328,10.0,10,10000,10,0.793726932954344
329,10.0,10,10000,50,0.7986390953474054
330,10.0,10,10000,100,0.8002067002665443
331,10.0,10,10000,200,0.7998911986992551
332,10.0,10,50000,10,0.7825474743988255
333,10.0,10,50000,50,0.7873271537658734
334,10.0,10,50000,100,0.7878004767062283
335,10.0,10,50000,200,0.7881412401841357
336,10.0,100,2,10,0.8059478158337381
337,10.0,100,2,50,0.8102867785059782
338,10.0,100,2,100,0.8109982050670107
339,10.0,100,2,200,0.8114990092349668
340,10.0,100,10,10,0.8035628784707981
341,10.0,100,10,50,0.8107020543718025
342,10.0,100,10,100,0.8107986908687582
343,10.0,100,10,200,0.811152166841852
344,10.0,100,100,10,0.8043689610530755
345,10.0,100,100,50,0.8113361835447075
346,10.0,100,100,100,0.8104670501160068
347,10.0,100,100,200,0.8115673065293384
348,10.0,100,1000,10,0.8036048721775437
349,10.0,100,1000,50,0.8087775407502307
350,10.0,100,1000,100,0.8088917481748016
351,10.0,100,1000,200,0.8096310249853872
352,10.0,100,10000,10,0.7932808308209881
353,10.0,100,10000,50,0.7998124672298415
354,10.0,100,10000,100,0.8009220921995054
355,10.0,100,10000,200,0.80070007802323
356,10.0,100,50000,10,0.7735544782622419
357,10.0,100,50000,50,0.7853589839334906
358,10.0,100,50000,100,0.785780380240551
359,10.0,100,50000,200,0.7851342872318987
360,10.0,1000,2,10,0.761662482179098
361,10.0,1000,2,50,0.7717905938799376
362,10.0,1000,2,100,0.7736223955396087
363,10.0,1000,2,200,0.7737281031654577
364,10.0,1000,10,10,0.7580166581909522
365,10.0,1000,10,50,0.7747036169822582
366,10.0,1000,10,100,0.7733146912229396
367,10.0,1000,10,200,0.7735367799807741
368,10.0,1000,100,10,0.7614369755299435
369,10.0,1000,100,50,0.7725905923429162
370,10.0,1000,100,100,0.7731716328248769
371,10.0,1000,100,200,0.7732357744668215
372,10.0,1000,1000,10,0.757524586888395
373,10.0,1000,1000,50,0.7709986614279187
374,10.0,1000,1000,100,0.7742138842152054
375,10.0,1000,1000,200,0.7744310993959012
376,10.0,1000,10000,10,0.7533589789905414
377,10.0,1000,10000,50,0.7642237316282153
378,10.0,1000,10000,100,0.7657411170601605
379,10.0,1000,10000,200,0.7660509087783816
380,10.0,1000,50000,10,0.7317889883034852
381,10.0,1000,50000,50,0.7484777011261576
382,10.0,1000,50000,100,0.7496263777786855
383,10.0,1000,50000,200,0.7499815559386175
384,10.0,10000,2,10,0.6328956252330139
385,10.0,10000,2,50,0.6525439765853982
386,10.0,10000,2,100,0.6519474120362265
387,10.0,10000,2,200,0.6480986609194067
388,10.0,10000,10,10,0.6378562989734501
389,10.0,10000,10,50,0.6457126543203089
390,10.0,10000,10,100,0.6575713828820023
391,10.0,10000,10,200,0.6533764120638195
392,10.0,10000,100,10,0.6592444721783537
393,10.0,10000,100,50,0.642212710325351
394,10.0,10000,100,100,0.6543075772642772
395,10.0,10000,100,200,0.6491602128890728
396,10.0,10000,1000,10,0.6362150017440888
397,10.0,10000,1000,50,0.6457177606229021
398,10.0,10000,1000,100,0.6474825677514
399,10.0,10000,1000,200,0.6539802915100019
400,10.0,10000,10000,10,0.6296237307831791
401,10.0,10000,10000,50,0.6516445526259961
402,10.0,10000,10000,100,0.6533568109911149
403,10.0,10000,10000,200,0.6487238131854765
404,10.0,10000,50000,10,0.6313419079750513
405,10.0,10000,50000,50,0.6564928491504315
406,10.0,10000,50000,100,0.6573449025674355
407,10.0,10000,50000,200,0.6557844076969855
408,10.0,50000,2,10,0.544696161658437
409,10.0,50000,2,50,0.5553869331940315
410,10.0,50000,2,100,0.5543196458420429
411,10.0,50000,2,200,0.5546858825699704
412,10.0,50000,10,10,0.534760038073437
413,10.0,50000,10,50,0.5565640424656875
414,10.0,50000,10,100,0.5554919324950559
415,10.0,50000,10,200,0.5564580127920175
416,10.0,50000,100,10,0.5410489321958794
417,10.0,50000,100,50,0.5543787390487841
418,10.0,50000,100,100,0.5556513743229502
419,10.0,50000,100,200,0.5561177798674692
420,10.0,50000,1000,10,0.547205858431744
421,10.0,50000,1000,50,0.555562066760747
422,10.0,50000,1000,100,0.5552955384084973
423,10.0,50000,1000,200,0.5567306442728445
424,10.0,50000,10000,10,0.5522688425698932
425,10.0,50000,10000,50,0.5545125314334893
426,10.0,50000,10000,100,0.5544421854141828
427,10.0,50000,10000,200,0.5553652317138829
428,10.0,50000,50000,10,0.5374799913137454
429,10.0,50000,50000,50,0.553464731625506
430,10.0,50000,50000,100,0.555955515756113
431,10.0,50000,50000,200,0.5547208249987972
432,50.0,2,2,10,0.7962846122626375
433,50.0,2,2,50,0.8180403810351716
434,50.0,2,2,100,0.824961462073189
435,50.0,2,2,200,0.8278892981111984
436,50.0,2,10,10,0.8045891428317207
437,50.0,2,10,50,0.8217399260641616
438,50.0,2,10,100,0.8258868215977113
439,50.0,2,10,200,0.8274929294144415
440,50.0,2,100,10,0.8184384339815975
441,50.0,2,100,50,0.8281982370248151
442,50.0,2,100,100,0.8296119097621769
443,50.0,2,100,200,0.8301091456741334
444,50.0,2,1000,10,0.8223759034824722
445,50.0,2,1000,50,0.8254710993661927
446,50.0,2,1000,100,0.8255717454614269
447,50.0,2,1000,200,0.8261602659751792
448,50.0,2,10000,10,0.8098675350662361
449,50.0,2,10000,50,0.8103568101501398
450,50.0,2,10000,100,0.8109971694701436
451,50.0,2,10000,200,0.8110111856811691
452,50.0,2,50000,10,0.7879398046800992
453,50.0,2,50000,50,0.7923644416806346
454,50.0,2,50000,100,0.7906608084127369
455,50.0,2,50000,200,0.7912242559257522
456,50.0,10,2,10,0.8135187742152826
457,50.0,10,2,50,0.8267799656854837
458,50.0,10,2,100,0.8289478848546784
459,50.0,10,2,200,0.8302278237571696
460,50.0,10,10,10,0.8126854557094452
461,50.0,10,10,50,0.8273355711035645
462,50.0,10,10,100,0.8285588675784933
463,50.0,10,10,200,0.8304663288784431
464,50.0,10,100,10,0.8191358595848183
465,50.0,10,100,50,0.8277994176354537
466,50.0,10,100,100,0.8291887289479263
467,50.0,10,100,200,0.8301915504706768
468,50.0,10,1000,10,0.8212237096658199
469,50.0,10,1000,50,0.8238851621984393
470,50.0,10,1000,100,0.8250116963918556
471,50.0,10,1000,200,0.8253410755001728
472,50.0,10,10000,10,0.8084244998034464
473,50.0,10,10000,50,0.8093133867232482
474,50.0,10,10000,100,0.8101867735447067
475,50.0,10,10000,200,0.8100376362766057
476,50.0,10,50000,10,0.7868386579036427
477,50.0,10,50000,50,0.789659117318202
478,50.0,10,50000,100,0.7916043776817977
479,50.0,10,50000,200,0.7906890829421398
480,50.0,100,2,10,0.8122693167732138
481,50.0,100,2,50,0.8180412097630587
482,50.0,100,2,100,0.818691832148249
483,50.0,100,2,200,0.8192250914583304
484,50.0,100,10,10,0.811597690753817
485,50.0,100,10,50,0.817974134645467
486,50.0,100,10,100,0.8186751597266179
487,50.0,100,10,200,0.8192855139254573
488,50.0,100,100,10,0.812820974526599
489,50.0,100,100,50,0.8183311052219115
490,50.0,100,100,100,0.8187593659515453
491,50.0,100,100,200,0.8188894698865046
492,50.0,100,1000,10,0.8117173473440229
493,50.0,100,1000,50,0.8154079727864663
494,50.0,100,1000,100,0.8158388519294112
495,50.0,100,1000,200,0.8159828791526014
496,50.0,100,10000,10,0.7972215046055108
497,50.0,100,10000,50,0.8034093021327514
498,50.0,100,10000,100,0.8042791158463064
499,50.0,100,10000,200,0.8041044946735362
500,50.0,100,50000,10,0.7816759723116384
501,50.0,100,50000,50,0.7867975946676457
502,50.0,100,50000,100,0.7856783351448023
503,50.0,100,50000,200,0.7856107154708045
504,50.0,1000,2,10,0.7479580522573802
505,50.0,1000,2,50,0.7719304126667879
506,50.0,1000,2,100,0.7727200612471293
507,50.0,1000,2,200,0.7737218619202026
508,50.0,1000,10,10,0.768540873520121
509,50.0,1000,10,50,0.771591967375093
510,50.0,1000,10,100,0.7732259222314309
511,50.0,1000,10,200,0.7734574981104779
512,50.0,1000,100,10,0.7573512386435484
513,50.0,1000,100,50,0.7720472438702901
514,50.0,1000,100,100,0.7726869450120681
515,50.0,1000,100,200,0.7737469752689737
516,50.0,1000,1000,10,0.7643311906006574
517,50.0,1000,1000,50,0.771534368146687
518,50.0,1000,1000,100,0.7732167776163267
519,50.0,1000,1000,200,0.7742096006101093
520,50.0,1000,10000,10,0.7585771919657038
521,50.0,1000,10000,50,0.7626762267081615
522,50.0,1000,10000,100,0.7655656443282067
523,50.0,1000,10000,200,0.7669174561318343
524,50.0,1000,50000,10,0.7327707132765992
525,50.0,1000,50000,50,0.7490132061252127
526,50.0,1000,50000,100,0.7503068838656752
527,50.0,1000,50000,200,0.7490578866142901
528,50.0,10000,2,10,0.6414646120611602
529,50.0,10000,2,50,0.6517469884096003
530,50.0,10000,2,100,0.6533588428986137
531,50.0,10000,2,200,0.652788107672311
532,50.0,10000,10,10,0.6245694288052721
533,50.0,10000,10,50,0.6479959022099682
534,50.0,10000,10,100,0.6495290542999156
535,50.0,10000,10,200,0.6528101526216824
536,50.0,10000,100,10,0.6366674219983863
537,50.0,10000,100,50,0.6448025486549589
538,50.0,10000,100,100,0.6436089745168605
539,50.0,10000,100,200,0.6480921646829951
540,50.0,10000,1000,10,0.6421469594571674
541,50.0,10000,1000,50,0.6435964358704732
542,50.0,10000,1000,100,0.6452433365920924
543,50.0,10000,1000,200,0.6522055687399557
544,50.0,10000,10000,10,0.6442021559386457
545,50.0,10000,10000,50,0.6505387255844597
546,50.0,10000,10000,100,0.6469845019214515
547,50.0,10000,10000,200,0.6488589814282898
548,50.0,10000,50000,10,0.6333321405214815
549,50.0,10000,50000,50,0.6568255301971357
550,50.0,10000,50000,100,0.6470669187151122
551,50.0,10000,50000,200,0.6571767588078752
552,50.0,50000,2,10,0.5400839694873524
553,50.0,50000,2,50,0.5548950827234054
554,50.0,50000,2,100,0.5555600063190369
555,50.0,50000,2,200,0.5571613129547278
556,50.0,50000,10,10,0.5426534350360213
557,50.0,50000,10,50,0.5557853861179084
558,50.0,50000,10,100,0.5536673359561604
559,50.0,50000,10,200,0.5565753034253671
560,50.0,50000,100,10,0.545512568902189
561,50.0,50000,100,50,0.5560504441999873
562,50.0,50000,100,100,0.557000973967082
563,50.0,50000,100,200,0.554747143687928
564,50.0,50000,1000,10,0.5356111784644214
565,50.0,50000,1000,50,0.5550924819838677
566,50.0,50000,1000,100,0.5570383005395091
567,50.0,50000,1000,200,0.5564089753746344
568,50.0,50000,10000,10,0.538984897396554
569,50.0,50000,10000,50,0.5569230378166921
570,50.0,50000,10000,100,0.5551825133938141
571,50.0,50000,10000,200,0.5558025954794039
572,50.0,50000,50000,10,0.5338279819283851
573,50.0,50000,50000,50,0.5527615766004716
574,50.0,50000,50000,100,0.55543061365258
575,50.0,50000,50000,200,0.5555961964106012
576,100.0,2,2,10,0.7972873900477145
577,100.0,2,2,50,0.8197651044768387
578,100.0,2,2,100,0.8237721025638395
579,100.0,2,2,200,0.8269381852375863
580,100.0,2,10,10,0.802842738317786
581,100.0,2,10,50,0.821310126110267
582,100.0,2,10,100,0.8261740915090048
583,100.0,2,10,200,0.8279372843110935
584,100.0,2,100,10,0.8190943341217682
585,100.0,2,100,50,0.8279950223644793
586,100.0,2,100,100,0.8291862916420408
587,100.0,2,100,200,0.8300724571286633
588,100.0,2,1000,10,0.8212460856118765
589,100.0,2,1000,50,0.8254038926909214
590,100.0,2,1000,100,0.8252934577965672
591,100.0,2,1000,200,0.8260212997579238
592,100.0,2,10000,10,0.809729723234445
593,100.0,2,10000,50,0.8101627066593858
594,100.0,2,10000,100,0.8103145720209671
595,100.0,2,10000,200,0.8105659984774775
596,100.0,2,50000,10,0.7855064643065026
597,100.0,2,50000,50,0.790250332528682
598,100.0,2,50000,100,0.7930660686217872
599,100.0,2,50000,200,0.791677039592371
600,100.0,10,2,10,0.81282796924572
601,100.0,10,2,50,0.8267288952272853
602,100.0,10,2,100,0.8289930049422816
603,100.0,10,2,200,0.8301485812359524
604,100.0,10,10,10,0.8131285523615375
605,100.0,10,10,50,0.8252910664164335
606,100.0,10,10,100,0.8286398493264441
607,100.0,10,10,200,0.8297877169987785
608,100.0,10,100,10,0.819109025371006
609,100.0,10,100,50,0.8277983849433139
610,100.0,10,100,100,0.82922210528577
611,100.0,10,100,200,0.8298608337126492
612,100.0,10,1000,10,0.821351196856266
613,100.0,10,1000,50,0.8247594709122994
614,100.0,10,1000,100,0.8250634134676323
615,100.0,10,1000,200,0.8248026992554337
616,100.0,10,10000,10,0.8055692759117109
617,100.0,10,10000,50,0.8098772498876871
618,100.0,10,10000,100,0.8099798235094269
619,100.0,10,10000,200,0.8098975357218876
620,100.0,10,50000,10,0.7872405897704813
621,100.0,10,50000,50,0.7915900451559784
622,100.0,10,50000,100,0.7931109364630693
623,100.0,10,50000,200,0.7909476760067917
624,100.0,100,2,10,0.808754571901383
625,100.0,100,2,50,0.8175946559412666
626,100.0,100,2,100,0.8188770294971096
627,100.0,100,2,200,0.8189494624176726
628,100.0,100,10,10,0.8123224472621825
629,100.0,100,10,50,0.81827755262857
630,100.0,100,10,100,0.8189054981804171
631,100.0,100,10,200,0.818858853995588
632,100.0,100,100,10,0.8113897236311438
633,100.0,100,100,50,0.818227510686342
634,100.0,100,100,100,0.8187072444884478
635,100.0,100,100,200,0.8190102344542929
636,100.0,100,1000,10,0.8108873184125388
637,100.0,100,1000,50,0.8155717689637779
638,100.0,100,1000,100,0.8158510218454813
639,100.0,100,1000,200,0.8157359511298952
640,100.0,100,10000,10,0.8008236783952338
641,100.0,100,10000,50,0.8038816744199944
642,100.0,100,10000,100,0.8040114749773162
643,100.0,100,10000,200,0.8040271475220914
644,100.0,100,50000,10,0.7812296290081874
645,100.0,100,50000,50,0.7863647228343741
646,100.0,100,50000,100,0.7857679910292781
647,100.0,100,50000,200,0.7856185068417624
648,100.0,1000,2,10,0.7620724157958009
649,100.0,1000,2,50,0.7727731999823877
650,100.0,1000,2,100,0.7727765148697147
651,100.0,1000,2,200,0.7746059655012137
652,100.0,1000,10,10,0.761474675669372
653,100.0,1000,10,50,0.7706510982644449
654,100.0,1000,10,100,0.7733198402943638
655,100.0,1000,10,200,0.7731931548762175
656,100.0,1000,100,10,0.7618511341407002
